county,state_id,lat,lng
Santa Rosa,FL,30.7004,-87.0219
Racine,WI,42.7475,-88.0613
Sarpy,NE,41.1129,-96.112
Broome,NY,42.1602,-75.8196
Butler,PA,40.912,-79.9133
Iredell,NC,35.8071,-80.8734
Washington,UT,37.2804,-113.5047
Livingston,MI,42.6029,-83.9115
Johnson,TX,32.379,-97.3666
Beaufort,SC,32.3857,-80.7306
Sangamon,IL,39.7582,-89.6589
Cass,ND,46.933,-97.248
Outagamie,WI,44.4161,-88.4649
El Dorado,CA,38.7787,-120.5247
DeSoto,MS,34.8753,-89.9912
Tippecanoe,IN,40.3886,-86.8941
Saginaw,MI,43.335,-84.0532
Boone,MO,38.9906,-92.3097
Kent,DE,39.086,-75.5686
Bay,FL,30.2652,-85.6203
Newport News,VA,37.105,-76.5181
Comal,TX,29.8082,-98.2783
Medina,OH,41.1176,-81.8997
Guadalupe,TX,29.5831,-97.9486
Hendricks,IN,39.7695,-86.51
Ulster,NY,41.8881,-74.2586
Kootenai,ID,47.6744,-116.7018
Licking,OH,40.0916,-82.4831
Shasta,CA,40.7637,-122.0405
Lee,AL,32.6011,-85.3555
Imperial,CA,33.0395,-115.3653
Vanderburgh,IN,38.0249,-87.5859
Peoria,IL,40.788,-89.76
Paulding,GA,33.9205,-84.8673
Shawnee,KS,39.0415,-95.7565
Pitt,NC,35.5933,-77.3745
Alamance,NC,36.0437,-79.3995
Kanawha,WV,38.3365,-81.5281
Muskegon,MI,43.2912,-86.152
Lower Connecticut River Valley,CT,41.45,-72.5073
Carroll,MD,39.5629,-77.0225
Porter,IN,41.4603,-87.0672
Midland,TX,31.8691,-102.0316
Scott,IA,41.6371,-90.6232
Aiken,SC,33.5442,-81.6347
Davidson,NC,35.7933,-80.2127
Kaufman,TX,32.5993,-96.2878
Winnebago,WI,44.0689,-88.6446
McLean,IL,40.4909,-88.8473
Kent,RI,41.6722,-71.5932
Kenton,KY,38.9334,-84.5333
Charles,MD,38.5073,-76.9922
Chittenden,VT,44.4611,-73.0813
Greene,OH,39.6915,-83.8899
Houston,GA,32.459,-83.6662
Pueblo,CO,38.1735,-104.5127
Canadian,OK,35.5424,-97.9824
Yellowstone,MT,45.9373,-108.2744
Kenosha,WI,42.5769,-88.0424
Wyandotte,KS,39.1146,-94.7646
Monroe,PA,41.0581,-75.3395
Dorchester,SC,33.0794,-80.4068
Indian River,FL,27.6943,-80.6064
Beaver,PA,40.6823,-80.3493
Johnson,IN,39.49,-86.1016
